RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
23496,Brooklyn,2016,6,8,15,15,434,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,15,30,464,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,15,45,499,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,16,0,507,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,16,15,475,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,16,30,487,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,16,45,473,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,18,0,444,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,18,15,454,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,18,30,444,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,18,45,475,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,15,0,481,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,15,15,452,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,15,30,450,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,15,45,490,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,16,0,460,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,16,15,465,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,16,30,455,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,16,45,436,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,18,0,455,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,18,15,432,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,18,30,448,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,9,18,45,448,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,15,0,482,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,15,15,482,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,15,30,482,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,15,45,454,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,16,0,460,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,16,15,489,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,16,30,474,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,16,45,473,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,18,0,490,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,18,15,487,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,18,30,490,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,10,18,45,493,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,15,0,405,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,15,15,390,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,15,30,369,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,15,45,390,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,16,0,417,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,16,15,396,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,16,30,445,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,16,45,387,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,18,0,427,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,18,15,401,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,18,30,399,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,11,18,45,343,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,15,0,393,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,15,15,387,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,15,30,380,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,15,45,364,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,16,0,404,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,16,15,396,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,16,30,415,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,16,45,362,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
